"","X","participant","ProlificParticipantID","font","crowdingDistance_Left","crowdingDistance_Right","questSD_Left","questSD_Right","CMFRT","CMMNT","readingSpeedMeanWPM","questMeanAtEndOfTrialsLoop","rsvpQuestSD","rsvpReadingSpeed","BTY","CMFRTOR","readingCorpus","readingPC","STAB_1","STAB_2","STAB_3","COMP_1","COMP_2","COMP_3","FONTS","AGE","ART","MUSIC","USE","SIMP","DYN_1","DYN_2","DYN_3","CLIKE_1","CLIKE_2","CLIKE_3","ABT","SEX","ARTIST","MUSICIAN","BC","MIN","DLIKE_1","DLIKE_2","DLIKE_3","CBEAUT_1","CBEAUT_2","CBEAUT_3","PROF","ARTYR","MUSICYR","CHALL","BEH","DBEUT_1","DBEUT_2","DBEUT_3","EDU","GRAPH","READ","ARTCHALL","COMP","ETHN","ABST","LATIN","PRED","SYM","MOD","RAD","SONG","PROB","crowdingBlock","rsvpBlock","readingBlock","cores","deviceBrowser","deviceBrowserVersion","deviceType","deviceSystem","screenSize","timestamp","fontGroup","count_Left","count_Right","logLRCrowdingDistance","logCrowdingDistance_Right","logCrowdingDistance_Left","logBouma","condition","Subcategory","perimetricComplexity","perimetricComplexityMin","perimetricComplexityMax","perimetricComplexitySD","perimetricComplexityWCapitals","NadineCategory","HannesCategory","LauraCategory","Category","Category2","xHeightToNominal","spacingToNominal"
"11",2027,"SunnyForestRat666","55b2d3f2fdf99b525bc839aa","TimesNewRoman",3.171407667,0.712765077,0.046656823,0.050884452,7,"Very easy to read and understand.",325.35602023573,-1.201571833,0.035221539,954.383853850987,5,7,"Spiders.txt",0.6,"5","4","5",6,6,"7","Yes","37",4,6,7,7,"3","4",4,6,5,"7","To see how people prefer some fonts over others","Male","No","No",6,7,"3","3","4","6",5,"7","computer support specialist","0","0",5,7,"3","4","3","Bachelor's degree (4-year)",1,6,4,7,"Hispanic or Latino",4,1,"no",6,4,6,"Happy by Pharrell, Santeria by Sublime.","no",17,37,25,24,"Chrome","131.0.0.0","desktop","Windows 10","2560,1440",2025-01-14 13:44:58.332,"A",35,35,0.177099242208828,-0.147053587363083,0.501252071780739,-0.521870762127191,"retest","Serif",14.878,11.78,20.9794,2.4249,19.0667,"Text","Text","Text","Text","Serif",0.4,0.38
"12",2028,"SunnyForestRat666","55b2d3f2fdf99b525bc839aa","Zapfino",NA,6.098841105,0.331690997,0.047508264,5,"A little difficult to read, but beautiful to look at.",199.842161700065,-0.882245348,0.036912224,457.505793896598,7,5,"Colours.txt",0.6,"5","4","5",6,6,"7","Yes","37",4,6,7,7,"3","4",4,6,5,"7","To see how people prefer some fonts over others","Male","No","No",6,7,"3","3","4","6",5,"7","computer support specialist","0","0",5,7,"3","4","3","Bachelor's degree (4-year)",1,6,4,7,"Hispanic or Latino",4,1,"no",6,4,6,"Happy by Pharrell, Santeria by Sublime.","no",17,37,25,24,"Chrome","131.0.0.0","desktop","Windows 10","2560,1440",2025-01-14 13:44:58.332,"A",35,35,NA,0.785247318696178,NA,NA,"retest","Script",58.6104,24.6088,151.4644,29.8879,48.6664,"Script","Script","Script","Script","Script",0.53,0.26
"13",13,"ActiveAquaTiger005","55ec49b67480920010aaa4e8","TimesNewRoman",NA,NA,NA,NA,7,"I felt comfortable reading the font. It's like reading a ebook, I felt like its a commonly used font.",NA,-0.858040761,0.033424189,432.705097431228,NA,NA,NA,NA,"5","5","3",3,3,"4",NA,NA,NA,NA,NA,NA,"3","4",5,2,3,"3",NA,NA,NA,NA,NA,NA,"2","2","4","3",3,"3",NA,NA,NA,NA,NA,"2","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1470,919",2025-01-22 15:35:40.758,"A",NA,NA,NA,NA,NA,NA,"test","Serif",14.878,11.78,20.9794,2.4249,19.0667,"Text","Text","Text","Text","Serif",0.4,0.38
"14",14,"ActiveAquaTiger005","55ec49b67480920010aaa4e8","Zapfino",NA,NA,NA,NA,6,"Its not too hard to read, I felt the font was legible.",NA,-0.860398774,0.035887752,435.060870405094,NA,NA,NA,NA,"5","5","3",3,3,"4",NA,NA,NA,NA,NA,NA,"3","4",5,2,3,"3",NA,NA,NA,NA,NA,NA,"2","2","4","3",3,"3",NA,NA,NA,NA,NA,"2","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1470,919",2025-01-22 15:35:40.758,"A",NA,NA,NA,NA,NA,NA,"test","Script",58.6104,24.6088,151.4644,29.8879,48.6664,"Script","Script","Script","Script","Script",0.53,0.26
"15",15,"ActiveAquaTiger005","55ec49b67480920010aaa4e8","Omfug",NA,NA,NA,NA,1,"It was very hard to decipher, I felt like I had to put work into trying to figure out what it was saying.",NA,-0.658642125,0.03176613,273.396767494762,NA,NA,NA,NA,"5","5","3",3,3,"4",NA,NA,NA,NA,NA,NA,"3","4",5,2,3,"3",NA,NA,NA,NA,NA,NA,"2","2","4","3",3,"3",NA,NA,NA,NA,NA,"2","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1470,919",2025-01-22 15:35:40.758,"A",NA,NA,NA,NA,NA,NA,"test","",10.177,7.177,12.9922,1.4949,9.8467,"Display","Display","Display","Display","Display",0.8,0.6
"16",31,"ActiveBlueOnion842","55ec49b67480920010aaa4e8","Omfug",4.366792682,1.770125341,0.045992155,0.050113534,3,"It was really hard to fully comprehend, some words were harder to decipher. I had to put alot of work in trying to figure out what it says.",NA,-0.812300962,0.031520883,389.450452144728,3,6,"Islands.txt",0.2,"7","5","3",4,3,"3","Yes","35",6,7,3,7,"3","4",4,3,3,"3","perception","Female","No","No",5,7,"3","2","5","3",3,"4","Insurance associate","0","0",5,4,"3","3","5","Associate degree (2-year)",4,7,4,4,"Asian",4,1,"I like simple and clean, easy to read",3,5,3,"iris and all too well","I had to restart it due to some error",5,35,19,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1470,919",2025-01-22 16:44:59.417,"A",35,35,0.444083296643665,0.248004019456364,0.640162573830965,-0.254886707692354,"retest","",10.177,7.177,12.9922,1.4949,9.8467,"Display","Display","Display","Display","Display",0.8,0.6
"17",32,"ActiveBlueOnion842","55ec49b67480920010aaa4e8","TimesNewRoman",2.211449967,0.720896831,0.047441985,0.048386211,7,"It was very easy to read. Its a common font.",300.254890292738,-1.200381039,0.037558727,951.77060872627,7,7,"Spiders.txt",0.8,"7","5","3",4,3,"3","Yes","35",6,7,3,7,"3","4",4,3,3,"3","perception","Female","No","No",5,7,"3","2","5","3",3,"4","Insurance associate","0","0",5,4,"3","3","5","Associate degree (2-year)",4,7,4,4,"Asian",4,1,"I like simple and clean, easy to read",3,5,3,"iris and all too well","I had to restart it due to some error",5,35,19,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1470,919",2025-01-22 16:44:59.417,"A",35,35,0.101275117259127,-0.14212688359315,0.344677118111403,-0.597694887076892,"retest","Serif",14.878,11.78,20.9794,2.4249,19.0667,"Text","Text","Text","Text","Serif",0.4,0.38
"18",33,"ActiveBlueOnion842","55ec49b67480920010aaa4e8","Zapfino",NA,3.55096841,0.371722554,0.046962216,5,"It wasn't that hard to read, I felt like it was easy but may be a problem for people who don't read cursive.",260.312230058164,-0.790152789,0.032646301,370.087178466245,6,4,"Colours.txt",0.6,"7","5","3",4,3,"3","Yes","35",6,7,3,7,"3","4",4,3,3,"3","perception","Female","No","No",5,7,"3","2","5","3",3,"4","Insurance associate","0","0",5,4,"3","3","5","Associate degree (2-year)",4,7,4,4,"Asian",4,1,"I like simple and clean, easy to read",3,5,3,"iris and all too well","I had to restart it due to some error",5,35,19,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1470,919",2025-01-22 16:44:59.417,"A",35,35,NA,0.55034680876354,NA,NA,"retest","Script",58.6104,24.6088,151.4644,29.8879,48.6664,"Script","Script","Script","Script","Script",0.53,0.26
"19",109,"AlertAquaTurkey289","5608a73fd7def20012b7389d","Arial",0.654212296,0.357629073,0.05284179,0.047132571,5,"It's a typical font. I feel a sense of comfort. It feels usual.",212.061869704998,-1.505640903,0.03275386,1922.17158717765,5,5,"Beaver.txt",1,"4","5","2",3,4,"5","Yes","37",7,7,3,5,"3","3",6,3,3,"4","It is about perceptions of different fonts","Male","No","No",3,5,"3","3","3","3",3,"4","office clerk","0","0",4,6,"3","3","3","Bachelor's degree (4-year)",1,7,4,5,"White/Caucasian",7,1,"There is nothing that comes to mind",5,7,4,"Feel It by Young Thug, Perfecto by Mac Miller","no",29,39,20,8,"Chrome","129.0.0.0","desktop","OS X 10.15.7","1800,1125",2025-01-21 12:31:12.109,"F",35,35,-0.315424240270358,-0.446567183024215,-0.184281297516501,-1.01439424460638,"test","Sans Serif",11.9778,9.7604,14.5767,1.2617,13.0766,"Text","Text","Text","Text","Sans Serif",0.54,0.49
"20",110,"AlertAquaTurkey289","5608a73fd7def20012b7389d","Extenda",1.012659294,1.960853743,0.059871355,0.044855845,2,"It feels as though there is not enough space between the letter. The font isn't easy to read",240.525411952503,-1.25373591,0.03638235,1076.18555973579,3,3,"Winter.txt",0.8,"4","5","2",3,4,"5","Yes","37",7,7,3,5,"3","3",6,3,3,"4","It is about perceptions of different fonts","Male","No","No",3,5,"3","3","3","3",3,"4","office clerk","0","0",4,6,"3","3","3","Bachelor's degree (4-year)",1,7,4,5,"White/Caucasian",7,1,"There is nothing that comes to mind",5,7,4,"Feel It by Young Thug, Perfecto by Mac Miller","no",29,39,20,8,"Chrome","129.0.0.0","desktop","OS X 10.15.7","1800,1125",2025-01-21 12:31:12.109,"F",35,35,0.148954277235035,0.292445201532722,0.00546335293734942,-0.550015727100983,"test","",43.6546,34.044,57.8721,5.9236,46.642,"Display","Display","Display","Display","Display",0.53,0.09
"21",111,"AlertAquaTurkey289","5608a73fd7def20012b7389d","Letraflex",NA,2.087856821,0.754607808,0.046174376,4,"It's fairly easy though it isn't the most natural font that one is accustomed to reading.",265.951983774767,-1.411352726,0.032440622,1547.04866860143,3,3,"Desert.txt",0.8,"4","5","2",3,4,"5","Yes","37",7,7,3,5,"3","3",6,3,3,"4","It is about perceptions of different fonts","Male","No","No",3,5,"3","3","3","3",3,"4","office clerk","0","0",4,6,"3","3","3","Bachelor's degree (4-year)",1,7,4,5,"White/Caucasian",7,1,"There is nothing that comes to mind",5,7,4,"Feel It by Young Thug, Perfecto by Mac Miller","no",29,39,20,8,"Chrome","129.0.0.0","desktop","OS X 10.15.7","1800,1125",2025-01-21 12:31:12.109,"F",35,35,NA,0.319700712729794,NA,NA,"test","",10.8577,7.9776,15.7727,1.6908,10.1344,"Display","Display","Display","Display","Display",0.61,0.52
"22",1450,"LoudBlackPig137","5608a73fd7def20012b7389d","Arial",0.751027626,0.476875644,0.046260002,0.052139827,6,"It was very easy. The font was very simple and readable",257.338999673096,-1.309528763,0.033797892,1223.71423876383,5,5,"Islands.txt",0.8,"5","4","3",4,5,"6","Yes","37",7,7,3,5,"3","3",5,3,4,"5","It is about perceptions of fonts","Male","No","No",4,5,"3","3","3","3",4,"5","office clerk","0","0",4,6,"3","3","3","Bachelor's degree (4-year)",1,7,4,6,"White/Caucasian",7,1,"I can't think of anything like this.",6,7,4,"Feel It by Young Thug and Perfecto by Mac Miller","no",5,29,19,8,"Chrome","129.0.0.0","desktop","OS X 10.15.7","1800,1125",2025-01-21 13:41:17.472,"F",35,35,-0.222969472851458,-0.321594858204672,-0.124344087498243,-0.921939477187477,"retest","Sans Serif",11.9778,9.7604,14.5767,1.2617,13.0766,"Text","Text","Text","Text","Sans Serif",0.54,0.49
"23",1451,"LoudBlackPig137","5608a73fd7def20012b7389d","Extenda",1.028614258,1.093036742,0.051055269,0.053676541,3,"The letters seem a bit tall. There isn't ideal spacing. Reading isn't easy.",257.666694404788,-1.307446575,0.034201959,1217.86128675321,4,3,"Spiders.txt",1,"5","4","3",4,5,"6","Yes","37",7,7,3,5,"3","3",5,3,4,"5","It is about perceptions of fonts","Male","No","No",4,5,"3","3","3","3",4,"5","office clerk","0","0",4,6,"3","3","3","Bachelor's degree (4-year)",1,7,4,6,"White/Caucasian",7,1,"I can't think of anything like this.",6,7,4,"Feel It by Young Thug and Perfecto by Mac Miller","no",5,29,19,8,"Chrome","129.0.0.0","desktop","OS X 10.15.7","1800,1125",2025-01-21 13:41:17.472,"F",35,35,0.0254436503876521,0.0386347608331973,0.0122525399421068,-0.673526353948367,"retest","",43.6546,34.044,57.8721,5.9236,46.642,"Display","Display","Display","Display","Display",0.53,0.09
"24",1452,"LoudBlackPig137","5608a73fd7def20012b7389d","Letraflex",2.66328134,1.779752927,0.074076015,0.048903338,4,"It wasn't too difficult but the font was a bit unusual and such, not as easy to read as more typical fonts",240.342086903693,-1.299448125,0.032573369,1195.637080383,3,3,"Colours.txt",0.8,"5","4","3",4,5,"6","Yes","37",7,7,3,5,"3","3",5,3,4,"5","It is about perceptions of fonts","Male","No","No",4,5,"3","3","3","3",4,"5","office clerk","0","0",4,6,"3","3","3","Bachelor's degree (4-year)",1,7,4,6,"White/Caucasian",7,1,"I can't think of anything like this.",6,7,4,"Feel It by Young Thug and Perfecto by Mac Miller","no",5,29,19,8,"Chrome","129.0.0.0","desktop","OS X 10.15.7","1800,1125",2025-01-21 13:41:17.472,"F",35,35,0.337888381055949,0.250359715854806,0.425417046257093,-0.361081623280069,"retest","",10.8577,7.9776,15.7727,1.6908,10.1344,"Display","Display","Display","Display","Display",0.61,0.52
"25",1000,"FreePurpleTiger573","5658000ca9872d0011e1ba26","Frutiger",0.842984009,0.439352996,0.048878622,0.046230235,4,"Very easy and fluid.",237.196339269831,-1.13352792,0.03307269,815.979354108702,2,4,"Beaver.txt",0.6,"3","5","1",5,6,"7","Yes","35",6,7,5,5,"2","2",6,6,4,"3","How fonts affect people's comprehension and awareness.","Male","No","No",3,5,"4","5","4","4",4,"3","Unemployed","0","0",6,7,"4","5","4","High School (including GED)",1,7,7,4,"White/Caucasian",5,1,"Nothing comes to mind.",6,4,1,"Pagan Poetry by Bjork and Frozen by Madonna","None at all.",29,31,10,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1710,1069",2025-01-23 17:28:48.793,"H",35,35,-0.215683535700584,-0.357186407747228,-0.0741806636539403,-0.914653540036603,"test","Sans Serif",16.1878,12.6425,21.8769,2.2107,17.2632,"Text","Text","Text","Text","Sans Serif",0.53,0.52
"26",1001,"FreePurpleTiger573","5658000ca9872d0011e1ba26","HautRelief",5.306291741,2.278525095,0.046066998,0.052016104,5,"More effort than the other font but still doable easily enough.",214.956840249092,-1.037631484,0.033374821,654.308759451529,5,5,"Winter.txt",0.8,"3","5","1",5,6,"7","Yes","35",6,7,5,5,"2","2",6,6,4,"3","How fonts affect people's comprehension and awareness.","Male","No","No",3,5,"4","5","4","4",4,"3","Unemployed","0","0",6,7,"4","5","4","High School (including GED)",1,7,7,4,"White/Caucasian",5,1,"Nothing comes to mind.",6,4,1,"Pagan Poetry by Bjork and Frozen by Madonna","None at all.",29,31,10,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1710,1069",2025-01-23 17:28:48.793,"H",35,35,0.541222470018623,0.357653816135499,0.724791123901746,-0.157747534317396,"test","",17.7752,14.3441,23.7462,1.9733,19.3242,"Display","Display","Display","Display","Display",0.73,0.39
"27",1002,"FreePurpleTiger573","5658000ca9872d0011e1ba26","Sabon",0.576024257,0.370956036,0.046086298,0.068831817,5,"Easy and fluid.",228.427744231757,-1.18668828,0.032790426,922.230604644619,3,4,"Desert.txt",0.8,"3","5","1",5,6,"7","Yes","35",6,7,5,5,"2","2",6,6,4,"3","How fonts affect people's comprehension and awareness.","Male","No","No",3,5,"4","5","4","4",4,"3","Unemployed","0","0",6,7,"4","5","4","High School (including GED)",1,7,7,4,"White/Caucasian",5,1,"Nothing comes to mind.",6,4,1,"Pagan Poetry by Bjork and Frozen by Madonna","None at all.",29,31,10,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1710,1069",2025-01-23 17:28:48.793,"H",35,35,-0.335118392750314,-0.430677557915908,-0.23955922758472,-1.03408839708633,"test","Serif",12.4718,9.9725,15.6452,1.4725,13.8503,"Text","Text","Text","Text","Serif",0.48,0.48
"28",1210,"HandyGreenViper620","5658000ca9872d0011e1ba26","Frutiger",0.425402528,0.33676729,0.047546107,0.048152292,5,"Very easy and fluid.",230.809286789921,-1.251689991,0.036414141,1071.12767734377,4,4,"Islands.txt",1,"4","3","1",4,5,"6","Yes","35",6,7,4,6,"4","5",6,5,4,"5","How font preferences and complexity affect aesthetic preferences and memory.","Male","No","No",3,5,"4","5","5","5",5,"4","Unemployed","0","0",6,7,"4","5","5","High School (including GED)",1,7,7,4,"White/Caucasian",5,1,"I like things that are predictable and straightforward.",6,4,2,"Pagan Poetry by Bjork and I'll Do It by Heidi Montag.","None at all.",23,27,8,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1710,1069",2025-01-24 21:09:58.907,"H",35,35,-0.4219350157322,-0.472670097880166,-0.371199933584235,-1.12090502006822,"retest","Sans Serif",16.1878,12.6425,21.8769,2.2107,17.2632,"Text","Text","Text","Text","Sans Serif",0.53,0.52
